name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at
Waseem Paint Services,"House # G-13، Street #6-Left Lehtrar Road، P/O Tarlai Ghauri Garden, Islamabad, 44000, Pakistan",,+92 343 4883331,23.0,5.0,No,No,No,Painter,
Hassan ali paint services Private Limited,"Street 38, F-8/1 F 8/1 F-8, Islamabad, Pakistan",hassanalipaintserviceexpertsislamabad.com,+92 314 5700786,19.0,4.9,No,No,No,Painter,
paint pandas,"Gate # 1, 146/5 Street 14, opp. DHA phase 2, Fatima Villas, Islamabad, 43000, Pakistan",paintpandas.com,+92 309 7759479,12.0,4.9,No,No,No,Painter,
Fine Artist (Fauzia H),"House #106 Street 39, G-8/2 G 8/2 G-8, Islamabad, 44000, Pakistan",fhartstore.wordpress.com,+92 336 5515529,86.0,5.0,No,No,No,Artist,
"Unique paint service1, wall paint selling paint wood Polish Deco Professional painters& wall PVC Pinnels install","shop new, Saafi traders, Nazmodeen rode Khokhar Chowk, G11, F-11, Islamabad, 44100, Pakistan",facebook.com,+92 317 5800321,23.0,4.8,No,No,No,Painter,
Professional painter and artist Islamabad,"E, Jamia Darul huda, 13 Golra Rd, E-12, Islamabad, Pakistan",,+92 333 1000173,44.0,5.0,No,No,No,Art studio,
Habib paint services and wood polish,,,+92 300 5578217,57.0,4.9,No,No,No,Painter,
Azan Paints Services,"Subhan real estate, Street 9, jan colony scheme 3, Rawalpindi, 54000, Pakistan",paint.lissoftware.com,+92 311 1158155,122.0,5.0,No,No,No,Painting,
Candid International Construction Pvt. Ltd(Paint Contractors Painters),"Beside Imtiaz Mega Free Parking, Babu Sher Plaza First Floor Office Number 01, 92331, Pakistan",,+92 331 5892878,12.0,4.8,No,No,No,Contractor, Opens 9AM Thu
Waheed Paint Services - Rawalpindi & Islamabad,,,+92 312 5672967,16.0,5.0,No,No,No,Painter,
Painters,"City Plaza, Tipu Sultan Rd, I-8 Markaz, I-8, I 8 Markaz I-8, Islamabad, 44000, Pakistan",,+92 321 5268774,1.0,5.0,No,No,No,,
The Handyman Pvt. Limited,"Floor, 4-A، Utility Plaza، Office 1, Street 2, F-8 Markaz Islamabad, 44000, Pakistan",thehandyman.com.pk,+92 800 426 39,102.0,4.0,No,No,No,Handyman/Handywoman/Handyperson, Opens 9AM Thu
Fahad Builder & Painter Services,"Cantt Street 9, Ch. Jan Colony Chaklala Cantt., Rawalpindi, 46000, Pakistan",,+92 316 2058432,66.0,4.7,No,No,No,Painter, Opens 9AM Thu
Islamabad Rawalpindi Painter,"Town, Street number 68, 1 Phase, Islamabad, 44000, Pakistan",,+92 303 6959143,7.0,4.1,No,No,No,Painter, Opens 7AM Thu
Subhan Paint and Polish Services,,,+92 370 5790565,24.0,5.0,No,No,No,Painter,
Ms building painters,"Hub commercial, Phase 7 bahria town phase 8, Islamabad, 46620, Pakistan",,+92 334 1222313,7.0,5.0,No,No,No,Painter,
AA RockWall,"Ghouri, Sharifabad Rd, Town, Islamabad, 44000, Pakistan",sites.google.com,+92 336 5269023,17.0,5.0,No,No,No,Painter, Opens 9AM Thu
City Rockwall & Material,"MXGM+7P9, Street 4, F-11/1 F 11/1 F-11, Islamabad, Pakistan",,+92 313 5384881,3.0,4.7,No,No,No,Painter, Opens 8AM Thu
Brighto Paints Shop-PAK Traders (Authorised Dealer),"Civic Centre, Block A Jinnah Garden, Islamabad, 46000, Pakistan",facebook.com,+92 333 8711836,54.0,4.9,Yes,No,Yes,Paint store, Opens 8:30AM Thu
Building maintenance islamabad,"plot # 212 east service road industrial area, I-10/3 I 10/3 Islamabad, 44000, Pakistan",facebook.com,+92 331 9944677,80.0,5.0,No,No,No,Building restoration service, Opens 9AM Thu
Gallery 6 Islamabad,"Second Floor، Al Abraaj Centre، Super Market، behind Shaheen Chemist, F-6 Markaz F 6 Markaz F-6, Islamabad, 44000, Pakistan",gallery6islamabad.com,+92 332 2101206,113.0,4.5,No,No,No,Art gallery, Opens 11AM Thu
Painter. Polish design,"G-11/1 G-12, Islamabad, 43701, Pakistan",,+92 307 8861399,3.0,5.0,No,No,No,Painter,
Fancy Paint Polish Deco,"Malik market, Shah Allah Ditta Rd, F-12, Islamabad, 44000, Pakistan",paintpolishdeco.com,+92 301 4717784,20.0,5.0,No,No,No,Home improvement store, Closes 11PM
A-one Paint Services,"Civic Center, Phase 1 Jinnah Garden, Islamabad, 44000, Pakistan",paintshop.pk,+92 333 8711836,7.0,5.0,No,No,No,Painter, Opens 8AM Thu
Shezi Paint Services in Rawalpindi and Islamabad,,,+92 305 9158284,6.0,4.8,No,No,No,Painter,
Asia Paint contractor,"Madina, Pindoriyan road barma town, town, Islamabad, 45550, Pakistan",,+92 300 8527744,2.0,5.0,No,No,No,Painter, Opens 9AM Thu
Zarqoon Painter Services,"J274+MC6, Road, Allahabad, Rawalpindi, 46000, Pakistan",,+92 310 1809132,9.0,4.6,No,No,No,Painter,
Islamabad All Home maintenance work and repair available,"St 25, G-11/1 G 11/2 G-11, Islamabad, 46000, Pakistan",wa.me,+92 331 9934309,85.0,4.8,No,No,No,Construction company,Open 24 hours
Islamabad Color Centre,"Shop 3&4, Islamabad Color Centre, Millat plaza, Markaz, next to HBL bank, F-10 Markaz F 10/4 F-10, Islamabad, Pakistan",,+92 337 0400007,17.0,4.8,Yes,Yes,Yes,Paint store, Opens 9AM Thu
Paint work service,"H4HW+GJ6, St 11, Pakistan Town Phase 1 Pakistan Town, Islamabad, Pakistan",,+92 335 8537481,,,No,No,No,Painter,
Islamabad work service,"MX5C+3G9 Nazmodeen rode, khokar Chowk f11, G-12, Islamabad, 44100, Pakistan",facebook.com,+92 325 5007866,2.0,5.0,No,No,No,Painter,
Nothing,"near Islamabad Model School for Boys, opposite the solution squad, Koral, Islamabad, 47331, Pakistan",,+92 342 5033991,1.0,5.0,No,No,No,Painter, Opens 9AM Thu
Smart House Painter,,,+92 309 0557357,8.0,5.0,No,No,No,Painter, Opens 8AM Thu
Excellent Modern Interior & Exterior paint work services,,,+92 310 1585332,7.0,5.0,No,No,No,Painter,
Jotun Paints Islamabad (STRUCTURE),"I & T Center, Shop 5, Block 35 Kibriya Plaza, G-9/4 G 9/4 G-9, Islamabad, 44000, Pakistan",facebook.com,+92 51 8311138,30.0,3.9,No,Yes,Yes,Paint store, Opens 9AM Thu
